mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
0.811,0.97,2.896,0.567,0.172,0.215,3.849,64.659,0.0
0.985,0.964,2.632,0.357,0.16,0.157,3.305,67.106,0.0
1.377,0.955,2.59,0.279,0.181,0.157,3.207,57.867,0.0
1.315,0.961,2.608,0.264,0.151,0.124,3.146,64.1,0.0
1.387,0.96,2.533,0.239,0.149,0.112,3.033,57.864,0.0
1.195,0.963,2.602,0.208,0.137,0.098,3.045,60.949,0.0
1.299,0.962,2.564,0.195,0.139,0.09,2.988,60.802,0.0
1.243,0.967,2.589,0.179,0.119,0.076,2.963,59.052,0.0
1.561,0.961,2.57,0.174,0.143,0.09,2.978,60.84,0.0
1.676,0.957,2.491,0.15,0.146,0.084,2.87,57.361,0.0
1.881,0.957,2.603,0.15,0.155,0.086,2.994,58.02,0.0
2.556,0.947,2.123,0.17,0.185,0.088,2.566,54.803,0.0
2.022,0.958,1.494,0.145,0.141,0.074,1.854,56.404,0.0
2.085,0.96,1.416,0.146,0.135,0.066,1.763,55.876,0.0
2.175,0.958,1.46,0.129,0.143,0.066,1.798,56.396,0.0
2.409,0.96,1.477,0.139,0.138,0.067,1.821,54.527,0.0
2.416,0.957,1.388,0.127,0.136,0.062,1.713,55.042,0.0
2.245,0.959,1.385,0.122,0.131,0.063,1.7,56.18,0.0
2.376,0.961,1.377,0.121,0.129,0.059,1.685,54.684,0.0
2.359,0.959,1.326,0.119,0.134,0.054,1.632,54.832,0.0
2.207,0.965,1.356,0.112,0.117,0.049,1.634,55.136,0.0
2.343,0.965,1.365,0.103,0.118,0.051,1.636,64.504,0.0
2.397,0.96,1.377,0.104,0.115,0.05,1.646,66.765,0.0
2.214,0.966,1.432,0.098,0.106,0.049,1.685,64.402,0.0
2.382,0.969,1.381,0.097,0.098,0.045,1.621,60.955,0.0
2.211,0.968,1.391,0.096,0.1,0.042,1.629,64.98,0.0
2.291,0.97,1.353,0.088,0.095,0.038,1.575,63.663,0.0
2.227,0.969,1.369,0.092,0.097,0.045,1.602,64.844,0.0
2.306,0.969,1.359,0.086,0.096,0.041,1.583,64.295,0.0
2.417,0.971,1.464,0.088,0.091,0.037,1.679,56.186,0.0
2.123,0.973,1.286,0.083,0.082,0.039,1.49,55.215,0.0
2.352,0.971,1.283,0.083,0.088,0.039,1.493,56.039,0.0
2.235,0.972,1.357,0.076,0.085,0.037,1.555,55.436,0.0
2.262,0.969,1.322,0.077,0.093,0.035,1.527,56.755,0.0
2.272,0.974,1.333,0.08,0.081,0.035,1.529,56.704,0.0
2.184,0.976,1.342,0.072,0.075,0.034,1.522,54.607,0.0
2.349,0.974,1.367,0.072,0.079,0.036,1.554,55.617,0.0
2.214,0.973,1.269,0.075,0.08,0.035,1.458,56.404,0.0
2.291,0.976,1.295,0.068,0.074,0.036,1.473,55.842,0.0
2.226,0.976,1.347,0.067,0.072,0.03,1.516,56.035,0.0
